epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,73.8128,1.46876,1.43002,1.07872,0.87193,0.81546,0.86889,0.38071,1.90928,1.34551,1.26293,0.00104231,0.00104231,0.00104231
43,75.4373,1.5815,1.61052,1.14135,0.84397,0.81763,0.88384,0.38354,1.90344,1.36403,1.25513,0.00103288,0.00103288,0.00103288
44,77.0957,1.5349,1.4806,1.14581,0.82369,0.81653,0.89578,0.41373,1.91737,1.35863,1.23379,0.00102345,0.00102345,0.00102345
45,78.7231,1.62782,1.52048,1.11511,0.80631,0.86332,0.91805,0.42854,1.92404,1.31883,1.22938,0.00101402,0.00101402,0.00101402
46,80.3778,1.57112,1.39418,1.08958,0.82097,0.87778,0.90344,0.41821,1.92712,1.17879,1.22976,0.00100459,0.00100459,0.00100459
47,82.0544,1.5174,1.47826,1.14401,0.80791,0.91573,0.88778,0.4006,1.90208,1.13737,1.19534,0.000995156,0.000995156,0.000995156
48,83.8152,1.43469,1.28497,1.06303,0.83377,0.89013,0.83807,0.40393,1.85563,1.09859,1.18326,0.000985724,0.000985724,0.000985724
49,85.5168,1.49916,1.36293,1.06989,0.70961,0.89988,0.83812,0.40776,1.79153,1.04888,1.14209,0.000976293,0.000976293,0.000976293
50,87.1558,1.48679,1.32626,1.08482,0.84593,0.78994,0.84381,0.40389,1.79031,1.0606,1.15031,0.000966861,0.000966861,0.000966861
51,88.7768,1.46176,1.33715,1.07208,0.77359,0.80185,0.84127,0.39585,1.87253,1.12942,1.19485,0.00095743,0.00095743,0.00095743
52,90.399,1.49875,1.34603,1.11338,0.78354,0.81889,0.84436,0.40001,1.87426,1.11323,1.21943,0.000947999,0.000947999,0.000947999
53,91.9669,1.5847,1.27157,1.17079,0.82965,0.84917,0.87532,0.41913,1.82474,1.1039,1.21383,0.000938567,0.000938567,0.000938567
54,93.6829,1.35519,1.26622,1.09106,0.78811,0.78432,0.8616,0.39371,1.85054,1.23505,1.22425,0.000929136,0.000929136,0.000929136
55,95.3286,1.47255,1.36577,1.17656,0.80375,0.8208,0.845,0.40025,1.84127,1.40921,1.2013,0.000919704,0.000919704,0.000919704
56,96.9643,1.51667,1.33837,1.12873,0.81939,0.82429,0.84581,0.40235,1.84833,1.37268,1.18159,0.000910273,0.000910273,0.000910273
57,98.6035,1.43641,1.24799,1.04812,0.7454,0.90556,0.87969,0.43132,1.82769,1.20581,1.17569,0.000900842,0.000900842,0.000900842
58,100.244,1.46449,1.23758,1.0999,0.83552,0.82436,0.91949,0.44768,1.81757,1.08058,1.17257,0.00089141,0.00089141,0.00089141
59,102.135,1.43087,1.36873,1.11794,0.82802,0.79123,0.91317,0.46135,1.81576,1.08696,1.17706,0.000881979,0.000881979,0.000881979
60,103.898,1.29625,1.4009,1.10528,0.81249,0.82327,0.93079,0.45687,1.8161,1.16794,1.18099,0.000872547,0.000872547,0.000872547
61,105.645,1.54272,1.38247,1.13622,0.79306,0.93519,0.88672,0.43771,1.82117,1.17831,1.19899,0.000863116,0.000863116,0.000863116
62,109.582,1.37045,1.30057,1.04461,0.75045,0.93045,0.90672,0.45246,1.82383,1.13614,1.19908,0.000853685,0.000853685,0.000853685
63,115.079,1.40266,1.24666,1.07732,0.74181,0.88171,0.93145,0.46151,1.79697,1.11018,1.19135,0.000844253,0.000844253,0.000844253
64,120.646,1.49777,1.31419,1.13567,0.77649,0.85879,0.92351,0.44957,1.77488,1.06196,1.20133,0.000834822,0.000834822,0.000834822
65,123.991,1.4174,1.24938,1.09165,0.82887,0.8037,0.91862,0.46763,1.7859,1.03796,1.20059,0.00082539,0.00082539,0.00082539
66,125.636,1.4028,1.20168,1.0707,0.835,0.8304,0.92601,0.45648,1.84232,1.05279,1.20334,0.000815959,0.000815959,0.000815959
67,127.405,1.27777,1.10415,1.05143,0.81932,0.85551,0.91841,0.44399,1.88388,1.0807,1.20794,0.000806528,0.000806528,0.000806528
68,129.07,1.45267,1.05646,1.05488,0.74108,0.87778,0.92027,0.42228,1.92473,1.17828,1.20576,0.000797096,0.000797096,0.000797096
69,130.67,1.40402,1.21367,1.0907,0.69302,0.90176,0.90654,0.41875,1.92504,1.23492,1.20282,0.000787665,0.000787665,0.000787665
70,132.467,1.42304,1.12907,1.12879,0.7063,0.90556,0.91075,0.44339,1.89129,1.18968,1.17721,0.000778233,0.000778233,0.000778233
71,134.116,1.31695,1.07672,1.01467,0.7324,0.88276,0.88804,0.44735,1.81127,1.08797,1.13758,0.000768802,0.000768802,0.000768802
72,135.775,1.32999,1.18415,1.03255,0.80117,0.84483,0.8764,0.45101,1.76018,1.07391,1.12388,0.000759371,0.000759371,0.000759371
73,137.441,1.34839,1.13848,1.02081,0.79965,0.85731,0.84145,0.41955,1.79186,1.10661,1.14444,0.000749939,0.000749939,0.000749939
74,139.05,1.40385,1.09496,1.09504,0.8351,0.86184,0.83675,0.40694,1.82771,1.16743,1.15772,0.000740508,0.000740508,0.000740508
75,140.728,1.22711,1.00879,0.97092,0.79251,0.87434,0.8213,0.38945,1.83302,1.16925,1.16806,0.000731076,0.000731076,0.000731076
76,142.384,1.36107,1.07361,1.05277,0.7743,0.91746,0.82121,0.3954,1.83139,1.17618,1.15405,0.000721645,0.000721645,0.000721645
77,143.992,1.27068,1.07974,1.00735,0.76111,0.92513,0.84729,0.39928,1.85165,1.23109,1.14911,0.000712214,0.000712214,0.000712214
78,145.61,1.30682,1.08886,0.96212,0.80902,0.86001,0.84039,0.3593,1.85722,1.20993,1.16561,0.000702782,0.000702782,0.000702782
79,147.315,1.35107,1.0356,0.98852,0.73733,0.90741,0.86032,0.3546,1.91645,1.19027,1.17097,0.000693351,0.000693351,0.000693351
80,148.935,1.4019,1.11184,1.0623,0.77216,0.89991,0.84928,0.35574,1.9135,1.16126,1.16554,0.000683919,0.000683919,0.000683919
81,150.733,1.31433,1.06234,1.05677,0.76866,0.87243,0.85885,0.37012,1.87377,1.11881,1.15576,0.000674488,0.000674488,0.000674488
82,152.388,1.2781,1.01844,1.00052,0.81186,0.83967,0.85631,0.39199,1.81473,1.05347,1.14571,0.000665057,0.000665057,0.000665057
83,154.029,1.36077,1.07675,1.00679,0.82352,0.87778,0.87762,0.44325,1.75987,1.00382,1.14118,0.000655625,0.000655625,0.000655625
84,155.661,1.30707,1.0472,1.01569,0.8335,0.87778,0.89765,0.47626,1.74074,0.95237,1.13703,0.000646194,0.000646194,0.000646194
85,157.316,1.20884,1.03611,1.01702,0.77301,0.90556,0.91397,0.47087,1.78469,0.94394,1.14665,0.000636762,0.000636762,0.000636762
86,158.943,1.26632,1.0322,1.04699,0.76031,0.89093,0.91358,0.45345,1.83841,0.97015,1.17429,0.000627331,0.000627331,0.000627331
87,160.621,1.16335,0.95894,0.97247,0.76198,0.89059,0.91705,0.4481,1.83592,0.97981,1.18461,0.0006179,0.0006179,0.0006179
88,162.299,1.26225,1.03577,1.00139,0.81329,0.85881,0.90302,0.44347,1.85397,0.99583,1.19809,0.000608468,0.000608468,0.000608468
89,163.976,1.27552,0.90466,1.00822,0.78003,0.86852,0.87701,0.41004,1.87846,1.00119,1.21353,0.000599037,0.000599037,0.000599037
90,165.648,1.08643,0.95454,0.95008,0.79997,0.88536,0.84508,0.37161,1.89538,1.01968,1.21037,0.000589605,0.000589605,0.000589605
91,167.408,1.21552,0.9748,1.00504,0.78034,0.96662,0.84907,0.37849,1.9214,1.03951,1.21845,0.000580174,0.000580174,0.000580174
92,169.037,1.15541,0.95542,0.94153,0.80992,0.96049,0.85079,0.38915,1.91463,1.04503,1.21603,0.000570743,0.000570743,0.000570743
93,170.654,1.16495,0.90964,0.97376,0.83307,0.97173,0.85382,0.42722,1.85967,1.0653,1.21061,0.000561311,0.000561311,0.000561311
94,172.245,1.18344,0.92092,0.95866,0.8226,0.97222,0.87164,0.44129,1.86586,1.025,1.21088,0.00055188,0.00055188,0.00055188
95,173.89,1.11479,0.86849,0.95284,0.82437,0.97222,0.87308,0.43553,1.83584,0.97882,1.20258,0.000542448,0.000542448,0.000542448
96,175.504,1.13945,0.98608,1.01264,0.82099,0.97222,0.85066,0.43733,1.77808,0.97218,1.18412,0.000533017,0.000533017,0.000533017
97,177.119,1.12537,0.94976,1.02356,0.83724,0.96832,0.85543,0.41137,1.81036,0.97428,1.17716,0.000523586,0.000523586,0.000523586
98,178.815,1.21027,0.91936,0.96074,0.79208,0.91281,0.8602,0.40172,1.85374,0.98651,1.18422,0.000514154,0.000514154,0.000514154
99,180.419,1.19117,0.94441,0.96559,0.7659,0.89634,0.85554,0.38884,1.86239,0.98891,1.19093,0.000504723,0.000504723,0.000504723
100,182.109,1.15506,1.00078,0.95606,0.74614,0.89187,0.8491,0.40109,1.84449,0.99035,1.19973,0.000495291,0.000495291,0.000495291
101,183.743,1.12033,0.89771,0.98191,0.76704,0.87621,0.88514,0.43511,1.79258,0.9746,1.18888,0.00048586,0.00048586,0.00048586
102,185.446,1.11337,0.89746,0.96311,0.78758,0.90276,0.88514,0.44684,1.77577,0.9544,1.17942,0.000476429,0.000476429,0.000476429
103,187.089,1.11254,0.89713,0.97495,0.80724,0.87622,0.8836,0.46391,1.75574,0.91489,1.17965,0.000466997,0.000466997,0.000466997
104,188.713,1.0898,0.86297,0.98099,0.84363,0.86574,0.91039,0.47931,1.75785,0.90703,1.18499,0.000457566,0.000457566,0.000457566
105,190.318,1.09817,0.84777,0.98785,0.84136,0.86852,0.9,0.47523,1.79292,0.92863,1.21396,0.000448134,0.000448134,0.000448134
106,192.008,1.12018,0.89272,0.97797,0.83153,0.86852,0.90375,0.46584,1.82046,0.95926,1.22104,0.000438703,0.000438703,0.000438703
107,193.612,1.06361,0.84851,0.94895,0.82952,0.86852,0.90416,0.44086,1.87168,0.99029,1.23941,0.000429272,0.000429272,0.000429272
108,195.253,1.1117,0.86518,1.00235,0.83697,0.86845,0.90728,0.42733,1.88607,0.97704,1.25055,0.00041984,0.00041984,0.00041984
109,196.932,1.15659,0.86004,0.95802,0.8293,0.89517,0.91036,0.43439,1.90982,0.9712,1.26592,0.000410409,0.000410409,0.000410409
110,198.527,1.08923,0.85088,0.9803,0.82465,0.89106,0.90618,0.4334,1.90659,0.95824,1.26938,0.000400977,0.000400977,0.000400977
111,200.154,1.03242,0.83751,0.96297,0.8236,0.88177,0.90751,0.43086,1.88836,0.94551,1.26001,0.000391546,0.000391546,0.000391546
112,201.816,1.10362,0.90233,0.9642,0.81477,0.88727,0.91321,0.44905,1.87593,0.93312,1.24814,0.000382115,0.000382115,0.000382115
113,203.543,1.0898,0.88819,0.95359,0.77618,0.89191,0.91094,0.448,1.88393,0.92905,1.24608,0.000372683,0.000372683,0.000372683
114,205.126,1.14962,0.88489,0.95835,0.85258,0.81867,0.90077,0.43974,1.90046,0.93017,1.23484,0.000363252,0.000363252,0.000363252
115,206.753,1.02993,0.85081,0.93451,0.83421,0.82133,0.8988,0.4343,1.90718,0.93365,1.22267,0.00035382,0.00035382,0.00035382
116,208.364,1.1261,0.81185,0.98833,0.77304,0.85095,0.88382,0.41467,1.89851,0.92134,1.21202,0.000344389,0.000344389,0.000344389
117,209.999,1.09313,0.85432,0.99009,0.77853,0.85306,0.88327,0.42917,1.89243,0.91737,1.20261,0.000334958,0.000334958,0.000334958
118,211.588,1.04843,0.84078,0.97194,0.79504,0.90553,0.88201,0.44703,1.85693,0.90162,1.19224,0.000325526,0.000325526,0.000325526
119,213.319,1.04392,0.89384,0.97432,0.78317,0.9488,0.905,0.4516,1.82465,0.90279,1.19023,0.000316095,0.000316095,0.000316095
120,214.957,1.05876,0.85356,0.92839,0.80813,0.93703,0.88683,0.45408,1.78678,0.89946,1.17453,0.000306663,0.000306663,0.000306663
121,216.596,1.06501,0.78782,0.95595,0.7823,0.9502,0.88615,0.44974,1.80078,0.88908,1.18128,0.000297232,0.000297232,0.000297232
122,218.245,1.04416,0.81509,0.98537,0.8073,0.8846,0.88867,0.44647,1.81849,0.8872,1.18851,0.000287801,0.000287801,0.000287801
123,219.876,1.04938,0.8523,0.97297,0.80126,0.88486,0.8883,0.44216,1.84025,0.90069,1.1986,0.000278369,0.000278369,0.000278369
124,221.655,1.0169,0.82251,0.95316,0.79061,0.88991,0.90465,0.44025,1.86108,0.91675,1.21487,0.000268938,0.000268938,0.000268938
125,223.323,0.95764,0.82935,0.98023,0.7807,0.91959,0.90277,0.44344,1.8726,0.96684,1.21597,0.000259506,0.000259506,0.000259506
126,224.98,0.9869,0.78828,0.93126,0.77919,0.9089,0.89875,0.44075,1.8671,1.00226,1.21074,0.000250075,0.000250075,0.000250075
127,226.618,0.99486,0.75786,0.91211,0.80496,0.93519,0.90815,0.43179,1.86239,0.98389,1.21466,0.000240644,0.000240644,0.000240644
128,228.257,1.01121,0.82755,0.972,0.8027,0.93519,0.90933,0.41447,1.87084,0.96449,1.23041,0.000231212,0.000231212,0.000231212
129,229.923,1.07015,0.84396,0.94757,0.79373,0.95091,0.91773,0.42793,1.87406,0.96624,1.23165,0.000221781,0.000221781,0.000221781
130,231.554,0.99562,0.80556,0.93474,0.86009,0.88309,0.91578,0.4371,1.87744,0.9712,1.21594,0.000212349,0.000212349,0.000212349
131,233.203,1.07701,0.79254,0.95968,0.78963,0.93519,0.91858,0.43416,1.89304,0.95275,1.22418,0.000202918,0.000202918,0.000202918
132,234.817,0.97413,0.76471,0.89768,0.82443,0.95958,0.92243,0.43086,1.89322,0.93237,1.22209,0.000193487,0.000193487,0.000193487
133,236.438,0.89783,0.82124,0.91434,0.82765,0.96274,0.92243,0.43991,1.88803,0.92676,1.21412,0.000184055,0.000184055,0.000184055
134,238.184,1.01279,0.79422,0.97338,0.83147,0.96116,0.93156,0.45291,1.87192,0.9148,1.20399,0.000174624,0.000174624,0.000174624
135,239.794,0.96837,0.74628,0.914,0.83499,0.96129,0.93156,0.4492,1.8567,0.91653,1.19168,0.000165192,0.000165192,0.000165192
136,241.478,1.01289,0.79557,0.96689,0.81132,0.96269,0.92581,0.45819,1.84029,0.90846,1.18763,0.000155761,0.000155761,0.000155761
137,243.077,0.9148,0.71875,0.89638,0.81251,0.96211,0.93914,0.46299,1.83877,0.9077,1.18551,0.00014633,0.00014633,0.00014633
138,244.713,0.996,0.74137,0.9019,0.81222,0.96029,0.94,0.45962,1.83866,0.90721,1.18479,0.000136898,0.000136898,0.000136898
139,246.35,0.95164,0.75372,0.92086,0.78062,0.97222,0.92417,0.45682,1.83788,0.91764,1.18737,0.000127467,0.000127467,0.000127467
140,247.933,1.03708,0.78588,0.94424,0.80071,0.96962,0.94259,0.4655,1.83136,0.90731,1.18151,0.000118035,0.000118035,0.000118035
141,249.592,0.92691,0.85827,0.90742,0.79963,0.96704,0.94174,0.47588,1.84783,0.90819,1.18696,0.000108604,0.000108604,0.000108604
142,251.134,0.90167,0.90969,0.9395,0.76663,0.96956,0.93548,0.44329,1.85806,0.90604,1.19703,9.91726e-05,9.91726e-05,9.91726e-05
143,252.662,0.82649,0.76175,0.90035,0.7625,0.96896,0.93548,0.45801,1.87,0.89707,1.20775,8.97412e-05,8.97412e-05,8.97412e-05
144,254.239,0.95352,0.82266,0.96265,0.76731,0.96567,0.93821,0.46139,1.86857,0.90436,1.20793,8.03098e-05,8.03098e-05,8.03098e-05
145,255.971,1.04531,0.87099,0.95552,0.79222,0.9661,0.9438,0.45283,1.88178,0.89708,1.22046,7.08784e-05,7.08784e-05,7.08784e-05
146,257.586,0.87895,0.8085,0.90592,0.78953,0.96613,0.93647,0.44261,1.88374,0.91059,1.22286,6.1447e-05,6.1447e-05,6.1447e-05
147,259.118,0.98679,0.8743,0.89887,0.78864,0.96649,0.93629,0.44644,1.8918,0.9107,1.23356,5.20156e-05,5.20156e-05,5.20156e-05
148,260.608,0.96066,0.85024,0.90704,0.79013,0.96578,0.93629,0.44637,1.89123,0.91325,1.23482,4.25842e-05,4.25842e-05,4.25842e-05
149,262.207,0.98081,0.8643,0.93241,0.79788,0.96497,0.93611,0.44888,1.89541,0.90947,1.23195,3.31528e-05,3.31528e-05,3.31528e-05
150,263.754,1.01042,0.87133,0.96511,0.76682,0.9647,0.92828,0.4563,1.89,0.9164,1.22703,2.37214e-05,2.37214e-05,2.37214e-05
